PKID|IDSucursal|IDReporteImpresion|IDNumCpContable|Codigo|Descripcion|Abreviacion|TipoCp|Numero|Serie|LongitudNumero|LongitudSerie|MaximoNumeroItems|PeriodoAnulacion|NumeracionAutomatica|NumeracionContable|RequiereMotivoAnulacion|GenerarNumeracionAlGuardar|PermitirFechasFuturas|PermitirFechasDiferidas|Imprimible|IDTipoComprobantePago|EsComprobantePago|IDImpuesto|TieneImpuesto|PreciosIncImpto|LibroDiario|Tercero|Activo|ResumirEnLibroAuxiliar|PermitirFechasPasadas|PercepcionSinMontoMinimo|IDFormatoImpresionElectronico|IDICB|TieneICB
323|1|829181FF-C02E-4902-A091-CEB6759CDC6C|0|03|BOLETA DE VENTA SERIE 001|B/V01|Venta|8553373|1|7|3|15|15|true|false|true|true|true|false|true|4|true|1|true|true|false|false|false|true|false|false||0|false
324|1|3E613D58-01C6-4C74-B434-C737D291146E|0|01|FACTURA DE VENTA SERIE 001|F/V01|Venta|2788226|1|7|3|15|5|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|false|false|false||0|false
325|1|829181FF-C02E-4902-A091-CEB6759CDC6C|0|03|BOLETA DE VENTA SERIE 003|B/V03|Venta|2290056|3|7|3|15|3|true|false|false|true|true|false|true|4|true|1|true|true|false|false|false|true|false|false|0|0|false
326|1|3E613D58-01C6-4C74-B434-C737D291146E|0|01|FACTURA DE VENTA SERIE 003|F/V03|Venta|281364|3|7|3|15|3|true|false|true|true|true|true|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
331|1|43B16201-EC07-4702-8458-A634EC5ADE23|0|07|NOTA DE CREDITO VENTAS SERIE 001|NC001|NotaCredito|549801|1|7|3|14|1|true|false|true|true|false|false|true|6|true|1|true|true|false|false|true|false|false|true|0|0|false
332|1|43B16201-EC07-4702-8458-A634EC5ADE23|0|07|NOTA DE CREDITO VENTAS SERIE 003|NC003|NotaCredito|47183|3|7|3|14|1|true|false|true|false|true|true|true|6|true|1|true|true|false|false|false|false|true|true|0|0|false
333|1|7CB43AF7-85D1-48EB-8F35-5E2CFFBA8772|2|01|01Factura Compras Norte|01FC|Compra|2781|0|7|3|300|50|false|true|false|false|false|true|true|1|true|1|true|false|false|false|true|false|true|false|0|0|false
334|1|7CB43AF7-85D1-48EB-8F35-5E2CFFBA8772|15|12|01TICKETS|01TC|Compra|513|0|7|3|50|45|false|true|false|false|false|true|true|33|true|1|true|true|false|false|true|false|true|false||0|false
335|1|0A0849DE-001F-4307-91D1-32F51206D5E6|11|03|01BOLETA DE COMPRAS|01BC|Compra|118|0|7|3|80|30|false|true|false|false|false|true|true|4|true|0|false|false|false|false|true|false|true|false|0|0|false
338|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|63|01REFP|Recibo de entrada Faltante Personal Norte|01REFP|Caja|1378|12|7|3|10|1|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
343|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|0|01REC|Recibo de entrada a caja Norte|01REC|Caja|2811801|13|7|3|20|0|true|false|true|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
344|1|A4773203-9250-4B72-BB34-0CA20C5B7E4D|4|01RSC|Recibo de salida de caja NORTE|01RSC|Caja|75323|5|7|3|60|0|true|true|false|true|false|false|true|28|true|0|false|false|false|false|true|false|false|false|0|0|false
4849|1|348879E3-D0E5-4DCD-8EEF-E0D1D7950616|0|VC01|Voucher contable de operacion|VC01|VoucherContable|39218|1|7|4|100|1|true|false|false|false|true|true|true|0|false|0|false|false|false|false|true|false|true|false||0|false
4854|300000004|829181FF-C02E-4902-A091-CEB6759CDC6C|0|03|BOLETA DE VENTA SERIE 200|B/200|Venta|707452|200|7|3|15|3|true|false|true|true|true|false|true|4|true|1|true|true|false|false|false|true|false|false|0|0|false
4855|300000005|829181FF-C02E-4902-A091-CEB6759CDC6C|0|03|BOLETA DE VENTA SERI 300|B/300|Venta|1556409|300|7|3|15|1|true|false|true|true|true|false|true|4|true|1|true|true|false|false|false|true|true|false||0|false
4856|300000004|3E613D58-01C6-4C74-B434-C737D291146E|0|01|FACTURA DE VENTA SERIE 200|F/200|Venta|561539|200|7|3|15|3|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|true|false|false||0|false
4857|300000005|3E613D58-01C6-4C74-B434-C737D291146E|0|01|FACTURA DE VENTA SERIE 300|F/300|Venta|553500|300|7|3|15|3|true|false|true|true|false|false|true|1|true|1|true|true|false|false|false|true|false|false|0|0|false
